Specimen,Title,Type,Path
M-199,Pecos Diamonds,Article,documents/specimens/M-199_pecos-diamonds.pdf
M-199,Pecos Valley Diamonds,Article,documents/specimens/M-199_pecos-valley-diamonds.pdf
M-234,LGGM with Blue Quartz reference,Research document,documents/specimens/M-234_lggm-with-blue-quartz-reference.pdf
M-251,feb1978 Cedar Rapids Mineral Club minutes with Stanhope and rice agate descriptions,Article,documents/specimens/M-251_feb1978-cedar-rapids-mineral-club-minutes-with-stanhope-and-rice-agate-descriptions.pdf
M-260,Oregons Asbestos Potential,Research document,documents/specimens/M-260_oregons-asbestos-potential.pdf
M-279,The Formation of Thundereggs-Revised 2004,Research document,documents/specimens/M-279_the-formation-of-thundereggs-revised-2004.pdf
M-280,Priday Thundereggs,Article,documents/specimens/M-280_priday-thundereggs.pdf
M-280,Thunderegg - Oregon State Rock,Article,documents/specimens/M-280_thunderegg-oregon-state-rock.pdf
M-314,USGS_ Geological Survey Bulletin 1161-D (Priday Agate Deposit),Research document,documents/specimens/M-314_usgs-geological-survey-bulletin-1161-d-priday-agate-deposit.pdf
M-317,benitoite,Article,documents/specimens/M-317_benitoite.pdf
M-352,The Geology and Petrography of Crater Lake National Park,Research document,documents/specimens/M-352_the-geology-and-petrography-of-crater-lake-national-park.pdf
M-361,Kay Robertson Collection,Article,documents/specimens/M-361_kay-robertson-collection.pdf
M-015,Oregon Orthoclase Crystals,Research document,documents/specimens/M-015_oregon-orthoclase-crystals.docx
M-047,Pints Quarry Raymond Iowa,Article,documents/specimens/M-047_pints-quarry-raymond-iowa.pdf
M-072,Geology of the Quartzburg Mining District Grant County Oregon,Research document,documents/specimens/M-072_geology-of-the-quartzburg-mining-district-grant-county-oregon.pdf
M-148,Geology of Butler County Iowa,Research document,documents/specimens/M-148_geology-of-butler-county-iowa.pdf
M-192,OGv69n01-WildcatMountain,Article,documents/specimens/M-192_ogv69n01-wildcatmountain.pdf
M-193,The Barites of Nebraska and the Badlands,Article,documents/specimens/M-193_the-barites-of-nebraska-and-the-badlands.pdf
M-197,Mexican Opal,Article,documents/specimens/M-197_mexican-opal.pdf
