Specimen Number,Original Filename,Normalized Filename,Browser Path
F-003,003.jpg,F-003.jpg,fossil-photos/F-003.jpg
F-004,004.jpg,F-004.jpg,fossil-photos/F-004.jpg
F-005,005.jpg,F-005.jpg,fossil-photos/F-005.jpg
F-006,006.jpg,F-006.jpg,fossil-photos/F-006.jpg
F-007,007.jpg,F-007.jpg,fossil-photos/F-007.jpg
F-014,014.jpg,F-014.jpg,fossil-photos/F-014.jpg
F-016,016.jpg,F-016.jpg,fossil-photos/F-016.jpg
F-018,018.jpg,F-018.jpg,fossil-photos/F-018.jpg
F-019,019.jpg,F-019.jpg,fossil-photos/F-019.jpg
F-020,020.jpg,F-020.jpg,fossil-photos/F-020.jpg
F-021,021.jpg,F-021.jpg,fossil-photos/F-021.jpg
F-022,022.jpg,F-022.jpg,fossil-photos/F-022.jpg
F-023,023.jpg,F-023.jpg,fossil-photos/F-023.jpg
F-025,025.jpg,F-025.jpg,fossil-photos/F-025.jpg
F-026,026.jpg,F-026.jpg,fossil-photos/F-026.jpg
F-028,028.jpg,F-028.jpg,fossil-photos/F-028.jpg
F-029,029.jpg,F-029.jpg,fossil-photos/F-029.jpg
F-030,030.jpg,F-030.jpg,fossil-photos/F-030.jpg
F-031,031.jpg,F-031.jpg,fossil-photos/F-031.jpg
F-032,032.jpg,F-032.jpg,fossil-photos/F-032.jpg
F-034,034.jpg,F-034.jpg,fossil-photos/F-034.jpg
F-035,035.jpg,F-035.jpg,fossil-photos/F-035.jpg
F-036,036.jpg,F-036.jpg,fossil-photos/F-036.jpg
F-037,037.jpg,F-037.jpg,fossil-photos/F-037.jpg
F-041,041.jpg,F-041.jpg,fossil-photos/F-041.jpg
F-044,044.jpg,F-044.jpg,fossil-photos/F-044.jpg
F-045,045.jpg,F-045.jpg,fossil-photos/F-045.jpg
F-048,048.jpg,F-048.jpg,fossil-photos/F-048.jpg
F-049,049.jpg,F-049.jpg,fossil-photos/F-049.jpg
F-050,050.jpg,F-050.jpg,fossil-photos/F-050.jpg
F-051,051.jpg,F-051.jpg,fossil-photos/F-051.jpg
F-052,052.jpg,F-052.jpg,fossil-photos/F-052.jpg
F-053,053.jpg,F-053.jpg,fossil-photos/F-053.jpg
F-054,054.jpg,F-054.jpg,fossil-photos/F-054.jpg
F-055,055.jpg,F-055.jpg,fossil-photos/F-055.jpg
F-056,056.jpg,F-056.jpg,fossil-photos/F-056.jpg
F-057,057.jpg,F-057.jpg,fossil-photos/F-057.jpg
F-064,064.jpg,F-064.jpg,fossil-photos/F-064.jpg
F-066,066.jpg,F-066.jpg,fossil-photos/F-066.jpg
F-067,067.jpg,F-067.jpg,fossil-photos/F-067.jpg
F-069,069.jpg,F-069.jpg,fossil-photos/F-069.jpg
F-070,070.jpg,F-070.jpg,fossil-photos/F-070.jpg
F-071,071.jpg,F-071.jpg,fossil-photos/F-071.jpg
F-072,072.jpg,F-072.jpg,fossil-photos/F-072.jpg
F-073,073.jpg,F-073.jpg,fossil-photos/F-073.jpg
F-074,074.jpg,F-074.jpg,fossil-photos/F-074.jpg
F-077,077.jpg,F-077.jpg,fossil-photos/F-077.jpg
F-080,080.jpg,F-080.jpg,fossil-photos/F-080.jpg
F-081,081.jpg,F-081.jpg,fossil-photos/F-081.jpg
F-082,082.jpg,F-082.jpg,fossil-photos/F-082.jpg
F-085,085.jpg,F-085.jpg,fossil-photos/F-085.jpg
F-088,088.jpg,F-088.jpg,fossil-photos/F-088.jpg
F-089,089.jpg,F-089.jpg,fossil-photos/F-089.jpg
F-091,091.jpg,F-091.jpg,fossil-photos/F-091.jpg
F-094,094.jpg,F-094.jpg,fossil-photos/F-094.jpg
F-097,097.jpg,F-097.jpg,fossil-photos/F-097.jpg
F-098,098.jpg,F-098.jpg,fossil-photos/F-098.jpg
F-099,099.jpg,F-099.jpg,fossil-photos/F-099.jpg
F-100,100.jpg,F-100.jpg,fossil-photos/F-100.jpg
F-101,101.jpg,F-101.jpg,fossil-photos/F-101.jpg
F-103,103.jpg,F-103.jpg,fossil-photos/F-103.jpg
F-104,104.jpg,F-104.jpg,fossil-photos/F-104.jpg
F-105,105.jpg,F-105.jpg,fossil-photos/F-105.jpg
F-106,106.jpg,F-106.jpg,fossil-photos/F-106.jpg
F-107,107.jpg,F-107.jpg,fossil-photos/F-107.jpg
F-108,108.jpg,F-108.jpg,fossil-photos/F-108.jpg
F-109,109.jpg,F-109.jpg,fossil-photos/F-109.jpg
F-110,110.jpg,F-110.jpg,fossil-photos/F-110.jpg
F-111,111.jpg,F-111.jpg,fossil-photos/F-111.jpg
F-112,112.jpg,F-112.jpg,fossil-photos/F-112.jpg
F-113,113.jpg,F-113.jpg,fossil-photos/F-113.jpg
F-114,114.jpg,F-114.jpg,fossil-photos/F-114.jpg
F-117,117.jpg,F-117.jpg,fossil-photos/F-117.jpg
F-120,120.jpg,F-120.jpg,fossil-photos/F-120.jpg
F-121,121.jpg,F-121.jpg,fossil-photos/F-121.jpg
F-122,122.jpg,F-122.jpg,fossil-photos/F-122.jpg
F-123,123.jpg,F-123.jpg,fossil-photos/F-123.jpg
F-126,126.jpg,F-126.jpg,fossil-photos/F-126.jpg
F-127,127.jpg,F-127.jpg,fossil-photos/F-127.jpg
F-128,128.jpg,F-128.jpg,fossil-photos/F-128.jpg
F-132,132.jpg,F-132.jpg,fossil-photos/F-132.jpg
F-133,133.jpg,F-133.jpg,fossil-photos/F-133.jpg
F-134,134.jpg,F-134.jpg,fossil-photos/F-134.jpg
F-135,135.jpg,F-135.jpg,fossil-photos/F-135.jpg
F-136,136.jpg,F-136.jpg,fossil-photos/F-136.jpg
F-137,137.jpg,F-137.jpg,fossil-photos/F-137.jpg
F-140,140.jpg,F-140.jpg,fossil-photos/F-140.jpg
F-143,143.jpg,F-143.jpg,fossil-photos/F-143.jpg
F-145,145.jpg,F-145.jpg,fossil-photos/F-145.jpg
F-146,146.jpg,F-146.jpg,fossil-photos/F-146.jpg
F-147,147.jpg,F-147.jpg,fossil-photos/F-147.jpg
F-148,148.jpg,F-148.jpg,fossil-photos/F-148.jpg
F-151,151.jpg,F-151.jpg,fossil-photos/F-151.jpg
F-153,153.jpg,F-153.jpg,fossil-photos/F-153.jpg
F-163,163.jpg,F-163.jpg,fossil-photos/F-163.jpg
F-172,172-1.jpg,F-172-1.jpg,fossil-photos/F-172-1.jpg
F-172,172-2.jpg,F-172-2.jpg,fossil-photos/F-172-2.jpg
F-173,173.jpg,F-173.jpg,fossil-photos/F-173.jpg
F-001,001.jpg,F-001.jpg,fossil-photos/F-001.jpg
F-002,002.jpg,F-002.jpg,fossil-photos/F-002.jpg
